Date,price_Yes_nuclear,price_Yes,price_No
2025-01-01 00:00:00+00:00,0.22,0.22,0.78
2025-01-02 00:00:00+00:00,0.2,0.2,0.8
2025-01-03 00:00:00+00:00,0.19,0.19,0.81
2025-01-04 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-01-05 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-01-06 00:00:00+00:00,0.19,0.19,0.81
2025-01-07 00:00:00+00:00,0.19,0.19,0.81
2025-01-08 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-01-09 00:00:00+00:00,0.2,0.2,0.8
2025-01-10 00:00:00+00:00,0.2,0.2,0.8
2025-01-11 00:00:00+00:00,0.2,0.2,0.8
2025-01-12 00:00:00+00:00,0.2,0.2,0.8
2025-01-13 00:00:00+00:00,0.2,0.2,0.8
2025-01-14 00:00:00+00:00,0.19,0.19,0.81
2025-01-15 00:00:00+00:00,0.19,0.19,0.81
2025-01-16 00:00:00+00:00,0.2,0.2,0.8
2025-01-17 00:00:00+00:00,0.2,0.2,0.8
2025-01-18 00:00:00+00:00,0.2,0.2,0.8
2025-01-19 00:00:00+00:00,0.2,0.2,0.8
2025-01-20 00:00:00+00:00,0.19,0.19,0.81
2025-01-21 00:00:00+00:00,0.19,0.19,0.81
2025-01-22 00:00:00+00:00,0.19,0.19,0.81
2025-01-23 00:00:00+00:00,0.19,0.19,0.81
2025-01-24 00:00:00+00:00,0.19,0.19,0.81
2025-01-25 00:00:00+00:00,0.19,0.19,0.81
2025-01-26 00:00:00+00:00,0.21,0.21,0.79
2025-01-27 00:00:00+00:00,0.2,0.2,0.8
2025-01-28 00:00:00+00:00,0.21,0.21,0.79
2025-01-29 00:00:00+00:00,0.19,0.19,0.81
2025-01-30 00:00:00+00:00,0.19,0.19,0.81
2025-01-31 00:00:00+00:00,0.21,0.21,0.79
2025-02-01 00:00:00+00:00,0.2,0.2,0.8
2025-02-02 00:00:00+00:00,0.2,0.2,0.8
2025-02-03 00:00:00+00:00,0.2,0.2,0.8
2025-02-04 00:00:00+00:00,0.2,0.2,0.8
2025-02-05 00:00:00+00:00,0.195,0.195,0.8049999999999999
2025-02-06 00:00:00+00:00,0.19,0.19,0.81
2025-02-07 00:00:00+00:00,0.19,0.19,0.81
2025-02-08 00:00:00+00:00,0.19,0.19,0.81
2025-02-09 00:00:00+00:00,0.19,0.19,0.81
2025-02-10 00:00:00+00:00,0.19,0.19,0.81
2025-02-11 00:00:00+00:00,0.19,0.19,0.81
2025-02-12 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-02-13 00:00:00+00:00,0.19,0.19,0.81
2025-02-14 00:00:00+00:00,0.14,0.14,0.86
2025-02-15 00:00:00+00:00,0.14500000000000002,0.14500000000000002,0.855
2025-02-16 00:00:00+00:00,0.15,0.15,0.85
2025-02-17 00:00:00+00:00,0.14,0.14,0.86
2025-02-18 00:00:00+00:00,0.15,0.15,0.85
2025-02-19 00:00:00+00:00,0.141,0.141,0.859
2025-02-20 00:00:00+00:00,0.16,0.16,0.84
2025-02-21 00:00:00+00:00,0.16,0.16,0.84
2025-02-22 00:00:00+00:00,0.16,0.16,0.84
2025-02-23 00:00:00+00:00,0.15000000000000002,0.15000000000000002,0.85
2025-02-24 00:00:00+00:00,0.14,0.14,0.86
2025-02-25 00:00:00+00:00,0.15000000000000002,0.15000000000000002,0.85
2025-02-26 00:00:00+00:00,0.16,0.16,0.84
2025-02-27 00:00:00+00:00,0.14,0.14,0.86
2025-02-28 00:00:00+00:00,0.14500000000000002,0.14500000000000002,0.855
2025-03-01 00:00:00+00:00,0.15,0.15,0.85
2025-03-02 00:00:00+00:00,0.15,0.15,0.85
2025-03-03 00:00:00+00:00,0.16,0.16,0.84
2025-03-04 00:00:00+00:00,0.15,0.15,0.85
2025-03-05 00:00:00+00:00,0.17,0.17,0.83
2025-03-06 00:00:00+00:00,0.15,0.15,0.85
2025-03-07 00:00:00+00:00,0.16,0.16,0.84
2025-03-08 00:00:00+00:00,0.17,0.17,0.83
2025-03-09 00:00:00+00:00,0.17,0.17,0.83
2025-03-10 00:00:00+00:00,0.17,0.17,0.83
2025-03-11 00:00:00+00:00,0.16,0.16,0.84
2025-03-12 00:00:00+00:00,0.16,0.16,0.84
2025-03-13 00:00:00+00:00,0.16,0.16,0.84
2025-03-14 00:00:00+00:00,0.17,0.17,0.83
2025-03-15 00:00:00+00:00,0.165,0.165,0.835
2025-03-16 00:00:00+00:00,0.16,0.16,0.84
2025-03-17 00:00:00+00:00,0.17,0.17,0.83
2025-03-18 00:00:00+00:00,0.165,0.165,0.835
2025-03-19 00:00:00+00:00,0.16,0.16,0.84
2025-03-20 00:00:00+00:00,0.16,0.16,0.84
2025-03-21 00:00:00+00:00,0.16,0.16,0.84
2025-03-22 00:00:00+00:00,0.16,0.16,0.84
2025-03-23 00:00:00+00:00,0.16,0.16,0.84
2025-03-24 00:00:00+00:00,0.162,0.162,0.838
2025-03-25 00:00:00+00:00,0.164,0.164,0.836
2025-03-26 00:00:00+00:00,0.166,0.166,0.834
2025-03-27 00:00:00+00:00,0.168,0.168,0.832
2025-03-28 00:00:00+00:00,0.17,0.17,0.83
2025-03-29 00:00:00+00:00,0.16,0.16,0.84
2025-03-30 00:00:00+00:00,0.16333333333333333,0.16333333333333333,0.8366666666666667
2025-03-31 00:00:00+00:00,0.16666666666666669,0.16666666666666669,0.8333333333333333
2025-04-01 00:00:00+00:00,0.17,0.17,0.83
2025-04-02 00:00:00+00:00,0.165,0.165,0.835
2025-04-03 00:00:00+00:00,0.16,0.16,0.84
2025-04-04 00:00:00+00:00,0.1625,0.1625,0.8375
2025-04-05 00:00:00+00:00,0.165,0.165,0.835
2025-04-06 00:00:00+00:00,0.1675,0.1675,0.8325
2025-04-07 00:00:00+00:00,0.17,0.17,0.83
2025-04-08 00:00:00+00:00,0.16,0.16,0.84
2025-04-09 00:00:00+00:00,0.17,0.17,0.83
2025-04-10 00:00:00+00:00,0.17,0.17,0.83
2025-04-11 00:00:00+00:00,0.17,0.17,0.83
2025-04-12 00:00:00+00:00,0.16,0.16,0.84
2025-04-13 00:00:00+00:00,0.16,0.16,0.84
2025-04-14 00:00:00+00:00,0.16,0.16,0.84
2025-04-15 00:00:00+00:00,0.16,0.16,0.84
2025-04-16 00:00:00+00:00,0.16,0.16,0.84
2025-04-17 00:00:00+00:00,0.15,0.15,0.85
2025-04-18 00:00:00+00:00,0.15,0.15,0.85
2025-04-19 00:00:00+00:00,0.15,0.15,0.85
2025-04-20 00:00:00+00:00,0.15,0.15,0.85
2025-04-21 00:00:00+00:00,0.15,0.15,0.85
2025-04-22 00:00:00+00:00,0.155,0.155,0.845
2025-04-23 00:00:00+00:00,0.16,0.16,0.84
2025-04-24 00:00:00+00:00,0.155,0.155,0.845
2025-04-25 00:00:00+00:00,0.15,0.15,0.85
2025-04-26 00:00:00+00:00,0.155,0.155,0.845
2025-04-27 00:00:00+00:00,0.16,0.16,0.84
2025-04-28 00:00:00+00:00,0.15,0.15,0.85
2025-04-29 00:00:00+00:00,0.165,0.165,0.835
2025-04-30 00:00:00+00:00,0.16,0.16,0.84
2025-05-01 00:00:00+00:00,0.15,0.15,0.85
2025-05-02 00:00:00+00:00,0.15,0.15,0.85
2025-05-03 00:00:00+00:00,0.15,0.15,0.85
2025-05-04 00:00:00+00:00,0.16499999999999998,0.16499999999999998,0.835
2025-05-05 00:00:00+00:00,0.18,0.18,0.8200000000000001
2025-05-06 00:00:00+00:00,0.2,0.2,0.8
2025-05-07 00:00:00+00:00,0.17,0.17,0.83
2025-05-08 00:00:00+00:00,0.17,0.17,0.83
2025-05-09 00:00:00+00:00,0.19,0.19,0.81
2025-05-10 00:00:00+00:00,0.17,0.17,0.83
