# AGI Timeline Forecasts Data
# For errors or questions, contact: nathan@goodhartlabs.com
#
# Downloaded: 2026-02-25T07:25:04.278Z
#
Date,Metaculus (Weak AGI),Metaculus (Full AGI),Metaculus (Turing),Manifold,Confidence Interval Lower,Confidence Interval Upper
2020-02-13,2054,,,,2030,2060
2020-02-14,2054,,,,2030,2060
2020-02-15,2054,,,,2030,2060
2020-02-16,2054,,,,2030,2060
2020-02-17,2051,,,,2029,2060
2020-02-18,2051,,,,2029,2060
2020-02-19,2051,,,,2029,2060
2020-02-20,2051,,,,2029,2060
2020-02-21,2051,,,,2029,2060
2020-02-22,2051,,,,2029,2060
2020-02-23,2051,,,,2029,2060
2020-02-24,2051,,,,2029,2060
2020-02-25,2051,,,,2029,2060
2020-03-04,2049,,,,2028,2060
2020-03-05,2049,,,,2028,2060
2020-03-06,2049,,,,2028,2060
2020-03-07,2049,,,,2028,2060
2020-03-08,2049,,,,2028,2060
2020-03-09,2049,,,,2028,2060
2020-03-10,2049,,,,2028,2060
2020-03-11,2049,,,,2028,2060
2020-03-12,2049,,,,2028,2060
2020-03-13,2049,,,,2028,2060
2020-03-14,2049,,,,2028,2060
2020-03-15,2049,,,,2028,2060
2020-03-16,2049,,,,2028,2060
2020-03-17,2052,,,,2030,2060
2020-03-18,2052,,,,2030,2060
2020-03-19,2052,,,,2030,2060
2020-03-20,2052,,,,2030,2060
2020-03-21,2052,,,,2030,2060
2020-03-22,2052,,,,2030,2060
2020-03-23,2052,,,,2030,2060
2020-04-03,2052,,,,2030,2060
2020-04-04,2052,,,,2030,2060
2020-04-05,2052,,,,2030,2060
2020-04-06,2052,,,,2030,2060
2020-04-07,2052,,,,2030,2060
2020-04-08,2052,,,,2030,2060
2020-04-13,2052,,,,2030,2060
2020-05-06,2051,,,,2030,2060
2020-05-07,2051,,,,2030,2060
2020-05-08,2051,,,,2030,2060
2020-05-09,2051,,,,2030,2060
2020-05-10,2051,,,,2030,2060
2020-05-11,2051,,,,2030,2060
2020-05-12,2051,,,,2030,2060
2020-05-13,2051,,,,2030,2060
2020-05-14,2051,,,,2030,2060
2020-05-15,2051,,,,2030,2060
2020-05-16,2043,,,,2027,2060
2020-05-17,2043,,,,2027,2060
2020-05-18,2043,,,,2027,2060
2020-05-19,2043,,,,2027,2060
2020-05-20,2040,,,,2027,2060
2020-05-21,2040,,,,2027,2060
2020-05-22,2040,,,,2027,2060
2020-05-23,2040,,,,2027,2060
2020-05-24,2040,,,,2027,2060
2020-05-27,2041,,,,2027,2060
